algorithm,mae,mse,r2
linear_regression,6.167851443740857,59.36944328181383,0.5552333949256512
ridge_regression,6.16790817401252,59.36969052352756,0.5552315427126007
lasso_regression,6.424508741719498,64.12567036499658,0.5196020860264171
random_forest,6.40953009,63.864159113789,0.5215611994180693
gradient_boosting,6.18884070465325,59.6800457260709,0.552906514513378
